Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
-2.000000000000000000e+02,1.997054886817932129e+01,3.958349488263366855e-01,2.000000000000000000e+02
2.040000000000000000e+02,1.997058987617492676e+01,6.984550137760255906e-01,2.000000000000000000e+02
-2.000000000000000000e+02,1.997094678878784180e+01,6.900853909349781157e-01,2.000000000000000000e+02
-2.000000000000000000e+02,1.997033095359802246e+01,5.338948420725542210e-01,2.000000000000000000e+02
2.040000000000000000e+02,1.997121715545654297e+01,5.970997623091863771e-01,2.000000000000000000e+02
-1.800000000000000000e+01,1.184180140495300293e+01,2.800698846289926269e-01,1.190000000000000000e+02
5.700000000000000000e+01,4.317191123962402344e+00,1.292163533643193307e-01,4.400000000000000000e+01
-2.300000000000000000e+01,1.234354519844055176e+01,3.843917684415374403e-01,1.240000000000000000e+02
4.700000000000000000e+01,5.321362495422363281e+00,1.390306639219654472e-01,5.400000000000000000e+01
-2.000000000000000000e+02,2.010286808013916016e+01,5.203845393045662959e-01,2.000000000000000000e+02
2.600000000000000000e+01,7.478141784667968750e+00,4.095271574534420922e-01,7.500000000000000000e+01
2.040000000000000000e+02,2.010662102699279785e+01,1.012204318449705820e+00,2.000000000000000000e+02
6.080000000000000000e+02,2.010444903373718262e+01,9.763724631136534438e-01,2.000000000000000000e+02
4.040000000000000000e+02,1.010423254966735840e+01,4.504492116737671692e-01,1.010000000000000000e+02
3.050000000000000000e+02,2.010440444946289062e+01,1.087498645464418878e+00,2.000000000000000000e+02
1.700000000000000000e+01,8.387047052383422852e+00,2.291792438631952422e-01,8.400000000000000000e+01
4.100000000000000000e+01,5.962121248245239258e+00,1.812044874709696773e-01,6.000000000000000000e+01
5.070000000000000000e+02,2.010208535194396973e+01,1.063955154536704306e+00,2.000000000000000000e+02
3.890000000000000000e+02,1.161957764625549316e+01,6.002299360988589960e-01,1.160000000000000000e+02
2.610000000000000000e+02,1.434781193733215332e+01,7.285707742810053622e-01,1.430000000000000000e+02
1.012000000000000000e+03,2.010724782943725586e+01,1.142603194139826916e+00,2.000000000000000000e+02
4.060000000000000000e+02,2.010754442214965820e+01,1.071738872079647908e+00,2.000000000000000000e+02
5.070000000000000000e+02,2.010640358924865723e+01,1.072981345913406992e+00,2.000000000000000000e+02
8.100000000000000000e+02,2.010460066795349121e+01,1.111400141553003484e+00,2.000000000000000000e+02
7.600000000000000000e+01,2.426597356796264648e+00,1.361331235253507577e-01,2.500000000000000000e+01
1.214000000000000000e+03,2.010872626304626465e+01,1.177332121445086921e+00,2.000000000000000000e+02
9.110000000000000000e+02,2.010452413558959961e+01,1.151016609965289650e+00,2.000000000000000000e+02
8.100000000000000000e+02,2.010745882987976074e+01,1.135142225631646351e+00,2.000000000000000000e+02
9.110000000000000000e+02,2.010852789878845215e+01,1.037796897443262756e+00,2.000000000000000000e+02
2.000000000000000000e+00,2.010586023330688477e+01,1.174273643147647261e+00,2.000000000000000000e+02
8.100000000000000000e+02,2.010602188110351562e+01,1.186586980171319361e+00,2.000000000000000000e+02
9.110000000000000000e+02,2.010489010810852051e+01,1.332532121244454304e+00,2.000000000000000000e+02
1.113000000000000000e+03,2.010499501228332520e+01,1.155569879315029747e+00,2.000000000000000000e+02
1.660000000000000000e+02,1.374040126800537109e+01,7.811736076431193831e-01,1.370000000000000000e+02
1.012000000000000000e+03,2.010921573638916016e+01,1.116166029424565442e+00,2.000000000000000000e+02
8.100000000000000000e+02,2.011032986640930176e+01,1.240825938415061724e+00,2.000000000000000000e+02
3.980000000000000000e+02,1.071207928657531738e+01,6.141452619612746133e-01,1.070000000000000000e+02
6.080000000000000000e+02,2.010616111755371094e+01,1.376323379650328915e+00,2.000000000000000000e+02
1.012000000000000000e+03,2.010771131515502930e+01,1.234698687091894342e+00,2.000000000000000000e+02
