human_action,ee_pos_y,ee_vel_y,cmd_acc_human,time
====================
0,0.162469,3.04364e-06,0.1,1.7744
0,0.212396,0.0994794,-0.1,2.79126
0,0.244254,0.0712554,-0.1,3.15915
0,0.262666,0.0317285,-0.1,3.5271
0,0.266975,0.0114597,-0.1,3.72721
0,0.266667,-0.0146875,-0.1,3.98318
0,0.249816,-0.0585892,0.1,4.43922
0,0.239994,-0.0484545,0.1,4.61528
0,0.232686,-0.0288051,0.1,4.80721
0,0.229207,-0.00989818,0.1,4.99119
0,0.229114,0.00907151,0.1,5.18322
0,0.247559,0.0617985,-0.1,5.70316
0,0.267526,0.0214247,-0.1,6.15929
0,0.269732,-0.00056278,-0.1,6.37528
0,0.226256,-0.0931826,0.1,7.30334
0,0.205569,-0.0748401,0.1,7.54318
0,0.179197,-0.0168478,0.1,8.11932
0,0.204135,0.0726971,-0.1,9.01527
0,0.228162,0.0354192,-0.1,9.43915
====================
0,0.162956,6.31111e-06,0.1,1.29735
0,0.184352,0.0645776,-0.1,1.98515
0,0.202626,0.0401546,-0.1,2.31321
0,0.21045,-0.000917627,-0.1,2.71317
0,0.203774,-0.0367629,0.1,3.07329
0,0.19651,-0.0209988,0.1,3.3054
0,0.210006,0.0551996,-0.1,4.06531
0,0.221111,-0.0405049,0.1,5.10531
0,0.239533,0.0768707,-0.1,6.36139
0,0.274954,-0.00297275,-0.1,7.22538
0,0.255297,-0.0622997,0.1,7.83341
0,0.243825,-0.0510809,0.1,8.02533
0,0.238224,0.0374421,-0.1,8.91325
0,0.245359,0.0255324,0.1,9.12123
0,0.254971,0.0467726,-0.1,9.41743
0,0.267211,0.0210239,-0.1,9.74521
0,0.269381,0.00154115,-0.1,9.94529
====================
0,0.162949,-6.793e-06,0.1,0.938656
0,0.173589,0.0462419,0,1.43453
0,0.219727,0.0492003,-0.1,2.36256
0,0.232209,0.0179176,-0.1,2.71465
0,0.224933,-0.0417816,0.1,3.31457
0,0.237084,0.0688356,-0.1,4.49867
0,0.25486,0.0483157,-0.1,4.78666
0,0.263921,0.0208885,-0.1,5.0506
0,0.253591,-0.0497024,0.1,5.76261
0,0.239793,-0.0212984,0.1,6.11463
====================
0,0.162927,-9.08637e-06,0.1,0.738809
0,0.221217,0.108642,-0.1,1.85092
0,0.252166,0.0845945,-0.1,2.16293
0,0.260933,0.0724843,-0.1,2.2749
0,0.277257,0.0446203,-0.1,2.55484
0,0.287018,0.000307803,-0.1,2.99489
0,0.263589,-0.0676541,0.1,3.68298
0,0.24541,-0.044001,0.1,3.98696
====================
0,0.162939,-5.5274e-07,0.1,0.843896
0,0.223825,0.110943,-0.1,1.97978
0,0.255571,0.0862684,-0.1,2.29181
0,0.288211,0.0300012,-0.1,2.85979
0,0.264977,-0.0737058,0.1,3.89192
0,0.249564,-0.0594783,0.1,4.11579
0,0.232361,-0.00409761,0.1,4.66795
0,0.237865,0.0331999,-0.1,5.03573
====================
0,0.162943,-4.615e-06,0.1,0.812428
0,0.202305,0.0879419,-0.1,1.73244
0,0.235473,0.0493417,-0.1,2.18853
0,0.243902,0.0295727,-0.1,2.40459
====================
0,0.16292,5.1988e-06,0.1,0.925024
0,0.208902,0.0956987,-0.1,1.91709
0,0.227462,0.0840241,-0.1,2.11722
0,0.243977,0.0595608,-0.1,2.34915
0,0.261703,0.00455716,-0.1,2.91713
0,0.250349,-0.0463793,0.1,3.42123
0,0.239503,-0.0295383,0.1,3.68511
====================
