Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
-1.500000000000000000e+02,3.012731981277465820e+01,1.643788512889470699e+00,1.500000000000000000e+02
-1.500000000000000000e+02,3.012389039993286133e+01,1.645383135721947498e+00,1.500000000000000000e+02
-1.060000000000000000e+02,2.345882201194763184e+01,9.843604673662071924e-01,1.170000000000000000e+02
-1.290000000000000000e+02,2.810639977455139160e+01,1.060517929174085161e+00,1.400000000000000000e+02
-1.500000000000000000e+02,3.012607240676879883e+01,1.158868491982943061e+00,1.500000000000000000e+02
-5.200000000000000000e+01,1.253957295417785645e+01,7.224825913327642679e-01,6.300000000000000000e+01
-3.100000000000000000e+01,8.288538455963134766e+00,3.744637477746540211e-01,4.200000000000000000e+01
-7.300000000000000000e+01,1.678074312210083008e+01,1.076000750634202419e+00,8.400000000000000000e+01
-1.500000000000000000e+02,3.012722587585449219e+01,1.634052404837385897e+00,1.500000000000000000e+02
-1.500000000000000000e+02,3.023774123191833496e+01,1.522632010341546271e+00,1.500000000000000000e+02
-4.000000000000000000e+00,2.842784643173217773e+00,2.848843584798737560e-01,1.500000000000000000e+01
-2.000000000000000000e+00,2.435882329940795898e+00,1.470308048077462459e-01,1.300000000000000000e+01
-2.000000000000000000e+01,6.089873075485229492e+00,2.961479658296584661e-01,3.100000000000000000e+01
-8.000000000000000000e+00,3.654716014862060547e+00,2.901156916997379431e-01,1.900000000000000000e+01
-5.800000000000000000e+01,1.379980492591857910e+01,7.186312586923591095e-01,6.900000000000000000e+01
-3.000000000000000000e+01,8.123735427856445312e+00,5.883423017540474476e-01,4.100000000000000000e+01
-5.000000000000000000e+00,3.045167207717895508e+00,2.866016905980339202e-01,1.600000000000000000e+01
-1.200000000000000000e+01,4.466275453567504883e+00,2.196777479377385323e-01,2.300000000000000000e+01
-1.400000000000000000e+01,4.871482372283935547e+00,2.079483758838221452e-01,2.500000000000000000e+01
-2.200000000000000000e+01,6.496784925460815430e+00,3.243336307402355789e-01,3.300000000000000000e+01
-2.500000000000000000e+01,7.105151653289794922e+00,4.806595056410795652e-01,3.600000000000000000e+01
-4.000000000000000000e+00,2.843266725540161133e+00,1.602052634462536596e-01,1.500000000000000000e+01
-3.300000000000000000e+01,8.725580692291259766e+00,4.809161105320543528e-01,4.400000000000000000e+01
-9.000000000000000000e+00,3.856840848922729492e+00,2.804130942912888558e-01,2.000000000000000000e+01
-3.900000000000000000e+01,9.947284936904907227e+00,5.346026517373014819e-01,5.000000000000000000e+01
-6.000000000000000000e+00,3.247760295867919922e+00,2.867143051568976642e-01,1.700000000000000000e+01
-6.000000000000000000e+00,3.247992515563964844e+00,1.720456841443255280e-01,1.700000000000000000e+01
-1.210000000000000000e+02,2.658134174346923828e+01,1.322914089318889319e+00,1.320000000000000000e+02
-1.200000000000000000e+01,4.464543104171752930e+00,2.198887546577988350e-01,2.300000000000000000e+01
-2.300000000000000000e+01,6.697026968002319336e+00,3.797111065610606628e-01,3.400000000000000000e+01
-4.000000000000000000e+00,2.844160318374633789e+00,1.579297447453248127e-01,1.500000000000000000e+01
-3.000000000000000000e+00,2.638954162597656250e+00,1.105136897822235342e-01,1.400000000000000000e+01
-5.000000000000000000e+00,3.045149564743041992e+00,1.257962829117607040e-01,1.600000000000000000e+01
-3.000000000000000000e+00,2.640076875686645508e+00,1.219370955176643095e-01,1.400000000000000000e+01
-3.000000000000000000e+00,2.638967037200927734e+00,1.280129602292272573e-01,1.400000000000000000e+01
1.000000000000000000e+00,1.827392816543579102e+00,1.006180559043623607e-01,1.000000000000000000e+01
-2.000000000000000000e+00,2.435667276382446289e+00,1.466979571545659056e-01,1.300000000000000000e+01
-3.000000000000000000e+00,2.639632701873779297e+00,1.432504612365009533e-01,1.400000000000000000e+01
-1.000000000000000000e+01,4.060086250305175781e+00,2.476639092906567918e-01,2.100000000000000000e+01
